,Year,Month,Day,Cluster,Rainfall
735,1999,12,23,3,0
736,1999,12,24,3,0
737,1999,12,25,3,0
738,1999,12,26,3,0
739,1999,12,27,3,0
740,1999,12,28,3,0
741,1999,12,29,3,0
742,1999,12,30,3,0
743,1999,12,31,3,0
759,1999,1,16,3,0
760,1999,1,17,3,0
761,1999,1,18,3,0
762,1999,1,19,3,0
763,1999,1,20,3,0
764,1999,1,21,3,0
765,1999,1,22,3,0
766,1999,1,23,3,0
767,1999,1,24,3,0
768,1999,1,25,3,0
769,1999,1,26,3,0
770,1999,1,27,3,0
771,1999,1,28,3,0
772,1999,1,29,3,0
773,1999,1,30,3,0
774,1999,1,31,3,0
790,1999,2,16,3,0
791,1999,2,17,3,0
792,1999,2,18,3,0
793,1999,2,19,3,0
794,1999,2,20,3,0
795,1999,2,21,3,0
796,1999,2,22,3,0
797,1999,2,23,3,0
798,1999,2,24,3,0
799,1999,2,25,3,0
800,1999,2,26,3,0
801,1999,2,27,3,0
802,1999,2,28,3,0
803,1999,2,29,3,0
804,1999,2,30,3,0
805,1999,2,31,3,0
821,1999,3,16,3,0
822,1999,3,17,3,0
823,1999,3,18,3,0
824,1999,3,19,3,0
825,1999,3,20,3,0
826,1999,3,21,3,0
827,1999,3,22,3,0
828,1999,3,23,3,0
829,1999,3,24,3,0
830,1999,3,25,3,0
831,1999,3,26,3,0
832,1999,3,27,3,1
833,1999,3,28,3,0
834,1999,3,29,3,0
835,1999,3,30,3,0
836,1999,3,31,3,0
852,1999,4,16,3,0
853,1999,4,17,3,0
854,1999,4,18,3,0
855,1999,4,19,3,27
856,1999,4,20,3,0
857,1999,4,21,3,0
858,1999,4,22,3,0
859,1999,4,23,3,0
860,1999,4,24,3,0
861,1999,4,25,3,0
862,1999,4,26,3,0
863,1999,4,27,3,10
864,1999,4,28,3,0
865,1999,4,29,3,0
866,1999,4,30,3,0
867,1999,4,31,3,0
883,1999,5,16,3,7
884,1999,5,17,3,0
885,1999,5,18,3,0
886,1999,5,19,3,0
887,1999,5,20,3,1
888,1999,5,21,3,6
889,1999,5,22,3,5
890,1999,5,23,3,23
891,1999,5,24,3,3
892,1999,5,25,3,18
893,1999,5,26,3,0
894,1999,5,27,3,0
895,1999,5,28,3,19
896,1999,5,29,3,4
897,1999,5,30,3,32
898,1999,5,31,3,0
914,1999,6,16,3,0
915,1999,6,17,3,9
916,1999,6,18,3,1
917,1999,6,19,3,8
918,1999,6,20,3,2
919,1999,6,21,3,7
920,1999,6,22,3,0
921,1999,6,23,3,5
922,1999,6,24,3,29
923,1999,6,25,3,2
924,1999,6,26,3,14
925,1999,6,27,3,24
926,1999,6,28,3,4
927,1999,6,29,3,21
928,1999,6,30,3,11
929,1999,6,31,3,0
945,1999,7,16,3,0
946,1999,7,17,3,0
947,1999,7,18,3,11
948,1999,7,19,3,14
949,1999,7,20,3,40
950,1999,7,21,3,16
951,1999,7,22,3,21
952,1999,7,23,3,0
953,1999,7,24,3,0
954,1999,7,25,3,4
955,1999,7,26,3,14
956,1999,7,27,3,6
957,1999,7,28,3,0
958,1999,7,29,3,4
959,1999,7,30,3,11
960,1999,7,31,3,9
976,1999,8,16,3,1
977,1999,8,17,3,2
978,1999,8,18,3,0
979,1999,8,19,3,4
980,1999,8,20,3,2
981,1999,8,21,3,0
982,1999,8,22,3,17
983,1999,8,23,3,0
984,1999,8,24,3,0
985,1999,8,25,3,1
986,1999,8,26,3,17
987,1999,8,27,3,42
988,1999,8,28,3,15
989,1999,8,29,3,17
990,1999,8,30,3,8
991,1999,8,31,3,1
1007,1999,9,16,3,0
1008,1999,9,17,3,39
1009,1999,9,18,3,7
1010,1999,9,19,3,3
1011,1999,9,20,3,0
1012,1999,9,21,3,0
1013,1999,9,22,3,34
1014,1999,9,23,3,1
1015,1999,9,24,3,27
1016,1999,9,25,3,0
1017,1999,9,26,3,0
1018,1999,9,27,3,0
1019,1999,9,28,3,0
1020,1999,9,29,3,0
1021,1999,9,30,3,0
1022,1999,9,31,3,0
1038,1999,10,16,3,0
1039,1999,10,17,3,0
1040,1999,10,18,3,28
1041,1999,10,19,3,68
1042,1999,10,20,3,79
1043,1999,10,21,3,3
1044,1999,10,22,3,0
1045,1999,10,23,3,0
1046,1999,10,24,3,0
1047,1999,10,25,3,0
1048,1999,10,26,3,0
1049,1999,10,27,3,0
1050,1999,10,28,3,0
1051,1999,10,29,3,0
1052,1999,10,30,3,0
1053,1999,10,31,3,0
1069,1999,11,16,3,0
1070,1999,11,17,3,0
1071,1999,11,18,3,0
1072,1999,11,19,3,0
1073,1999,11,20,3,0
1074,1999,11,21,3,0
1075,1999,11,22,3,0
1076,1999,11,23,3,0
1077,1999,11,24,3,0
1078,1999,11,25,3,0
1079,1999,11,26,3,0
1080,1999,11,27,3,0
1081,1999,11,28,3,0
1082,1999,11,29,3,0
1083,1999,11,30,3,0
1084,1999,11,31,3,0
1100,1999,12,16,3,0
1101,1999,12,17,3,0
1102,1999,12,18,3,0
1103,1999,12,19,3,0
1104,1999,12,20,3,0
1105,1999,12,21,3,0
1106,1999,12,22,3,0
1107,1999,12,23,3,0
1108,1999,12,24,3,0
1109,1999,12,25,3,0
1110,1999,12,26,3,0
1111,1999,12,27,3,0
1112,1999,12,28,3,0
